ID,Date,Killed,Injured,Attacks
1,1948,379,397,8
1,1949,37,0,0
2,1950,52,0,0
2,1951,41,0,0
2,1952,40,0,1
2,1953,46,3,3
2,1954,41,2,1
2,1955,30,18,2
2,1956,53,30,11
2,1957,19,2,6
2,1958,15,31,6
2,1959,10,0,7
3,1960,11,0,1
3,1961,8,0,0
3,1962,10,1,1
3,1963,7,0,0
3,1964,9,0,0
3,1965,10,4,3
3,1966,10,3,4
3,1967,16,0,0
3,1968,55,221,8
3,1969,33,133,12
4,1970,74,63,5
4,1971,18,36,2
4,1972,46,0,7
4,1973,27,0,1
4,1974,67,0,11
4,1975,39,0,19
4,1976,14,0,10
4,1977,9,0,22
4,1978,57,0,11
4,1979,10,0,32
5,1980,16,0,22
5,1981,14,0,11
5,1982,6,0,2
5,1983,21,0,4
5,1984,9,0,10
5,1985,27,0,22
5,1986,14,0,17
5,1987,11,0,16
5,1988,16,0,9
5,1989,40,0,10
6,1990,33,0,8
6,1991,21,0,12
6,1992,34,0,10
6,1993,45,0,26
6,1994,65,0,42
6,1995,29,0,17
6,1996,56,330,15
6,1997,41,439,10
6,1998,16,38,21
6,1999,8,2,6
7,2000,44,263,29
7,2001,207,1548,118
7,2002,452,2284,135
7,2003,208,1002,67
7,2004,117,663,45
7,2005,56,504,28
7,2006,30,383,48
7,2007,13,462,10
7,2008,36,679,30
7,2009,15,234,14
8,2010,11,29,7
8,2011,22,159,11
8,2012,10,309,9
8,2013,6,44,11
8,2014,25,66,62
8,2015,83,251,108
8,2016,90,381,122
8,2017,34,45,25
8,2018,6,2,4