TERRORIST,DATE,FATALITIES,INJURED,INCIDENTS
Al-Aqsa Martyrs Brigade,2000,1,1,2
Al-Aqsa Martyrs Brigade,2001,12,7,19
Al-Aqsa Martyrs Brigade,2002,39,34,73
Al-Aqsa Martyrs Brigade,2003,10,14,24
Al-Aqsa Martyrs Brigade,2004,2,5,7
Al-Aqsa Martyrs Brigade,2005,6,14,20
Al-Aqsa Martyrs Brigade,2006,5,0,5
Al-Aqsa Martyrs Brigade,2007,5,0,5
Al-Aqsa Martyrs Brigade,2008,5,4,9
Al-Aqsa Martyrs Brigade,2009,0,0,0
Al-Aqsa Martyrs Brigade,2010,0,1,1
Al-Aqsa Martyrs Brigade,2011,0,0,0
Al-Aqsa Martyrs Brigade,2012,0,0,0
Al-Aqsa Martyrs Brigade,2013,2,1,3
Al-Aqsa Martyrs Brigade,2014,0,2,2
Al-Aqsa Martyrs Brigade,2015,1,3,4
Al-Aqsa Martyrs Brigade,2016,2,6,8
Al-Aqsa Martyrs Brigade,2017,0,0,0
Hamas (Islamic Resistance Movement),2000,1,3,4
Hamas (Islamic Resistance Movement),2001,24,25,49
Hamas (Islamic Resistance Movement),2002,32,15,47
Hamas (Islamic Resistance Movement),2003,18,15,33
Hamas (Islamic Resistance Movement),2004,7,18,25
Hamas (Islamic Resistance Movement),2005,3,13,16
Hamas (Islamic Resistance Movement),2006,6,11,17
Hamas (Islamic Resistance Movement),2007,4,7,11
Hamas (Islamic Resistance Movement),2008,2,9,11
Hamas (Islamic Resistance Movement),2009,0,0,0
Hamas (Islamic Resistance Movement),2010,0,0,0
Hamas (Islamic Resistance Movement),2011,0,0,0
Hamas (Islamic Resistance Movement),2012,5,20,25
Hamas (Islamic Resistance Movement),2013,2,6,8
Hamas (Islamic Resistance Movement),2014,49,14,63
Hamas (Islamic Resistance Movement),2015,3,9,12
Hamas (Islamic Resistance Movement),2016,10,15,25
Hamas (Islamic Resistance Movement),2017,7,4,11
Hezbollah,2000,1,3,4
Hezbollah,2001,2,1,3
Hezbollah,2002,0,0,0
Hezbollah,2003,1,4,5
Hezbollah,2004,2,1,3
Hezbollah,2005,0,0,0
Hezbollah,2006,21,8,29
Hezbollah,2007,0,0,0
Hezbollah,2008,0,0,0
Hezbollah,2009,0,0,0
Hezbollah,2010,0,0,0
Hezbollah,2011,0,0,0
Hezbollah,2012,0,0,0
Hezbollah,2013,0,0,0
Hezbollah,2014,0,2,2
Hezbollah,2015,2,7,9
Hezbollah,2016,0,0,0
Hezbollah,2017,0,0,0
Palestinian Extremists,2000,0,3,3
Palestinian Extremists,2001,13,13,26
Palestinian Extremists,2002,9,10,19
Palestinian Extremists,2003,3,4,7
Palestinian Extremists,2004,1,1,2
Palestinian Extremists,2005,0,0,0
Palestinian Extremists,2006,1,4,5
Palestinian Extremists,2007,0,0,0
Palestinian Extremists,2008,0,3,3
Palestinian Extremists,2009,0,0,0
Palestinian Extremists,2010,0,0,0
Palestinian Extremists,2011,0,0,0
Palestinian Extremists,2012,1,7,8
Palestinian Extremists,2013,1,2,3
Palestinian Extremists,2014,6,23,29
Palestinian Extremists,2015,90,200,290
Palestinian Extremists,2016,76,107,183
Palestinian Extremists,2017,26,44,70
Palestinian Islamic Jihad (PIJ),2000,3,3,6
Palestinian Islamic Jihad (PIJ),2001,5,15,20
Palestinian Islamic Jihad (PIJ),2002,15,28,43
Palestinian Islamic Jihad (PIJ),2003,13,9,22
Palestinian Islamic Jihad (PIJ),2004,12,2,14
Palestinian Islamic Jihad (PIJ),2005,3,16,19
Palestinian Islamic Jihad (PIJ),2006,2,11,13
Palestinian Islamic Jihad (PIJ),2007,0,8,8
Palestinian Islamic Jihad (PIJ),2008,6,16,22
Palestinian Islamic Jihad (PIJ),2009,2,0,2
Palestinian Islamic Jihad (PIJ),2010,0,0,0
Palestinian Islamic Jihad (PIJ),2011,0,4,4
Palestinian Islamic Jihad (PIJ),2012,0,8,8
Palestinian Islamic Jihad (PIJ),2013,0,1,1
Palestinian Islamic Jihad (PIJ),2014,7,4,11
Palestinian Islamic Jihad (PIJ),2015,5,3,8
Palestinian Islamic Jihad (PIJ),2016,0,0,0
Palestinian Islamic Jihad (PIJ),2017,2,0,2
Popular Front for the Liberation of Palestine (PFLP),2000,0,0,0
Popular Front for the Liberation of Palestine (PFLP),2001,3,9,12
Popular Front for the Liberation of Palestine (PFLP),2002,10,7,17
Popular Front for the Liberation of Palestine (PFLP),2003,0,0,0
Popular Front for the Liberation of Palestine (PFLP),2004,0,0,0
Popular Front for the Liberation of Palestine (PFLP),2005,0,0,0
Popular Front for the Liberation of Palestine (PFLP),2006,0,0,0
Popular Front for the Liberation of Palestine (PFLP),2007,0,0,0
Popular Front for the Liberation of Palestine (PFLP),2008,0,1,1
Popular Front for the Liberation of Palestine (PFLP),2009,0,2,2
Popular Front for the Liberation of Palestine (PFLP),2010,0,0,0
Popular Front for the Liberation of Palestine (PFLP),2011,0,0,0
Popular Front for the Liberation of Palestine (PFLP),2012,0,5,5
Popular Front for the Liberation of Palestine (PFLP),2013,0,0,0
Popular Front for the Liberation of Palestine (PFLP),2014,0,0,0
Popular Front for the Liberation of Palestine (PFLP),2015,0,0,0
Popular Front for the Liberation of Palestine (PFLP),2016,0,0,0
Popular Front for the Liberation of Palestine (PFLP),2017,0,0,0